Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,Region,State,City,Category,Sub_Category,Product_Name,Quantity,Discount,Sales,Profit,Shipping_Days,Year,Month_Number,Month_Name,Quarter
44,ORD-000044,2024-05-19,2024-05-24,Standard Class,CUST-0786,Customer 0786,Consumer,Mexico,North America,Jalisco,Delhi,Office Supplies,Supplies,Office Supplies Kit,8,0.1,403.47,28.91,5,2024,5,May,Q2
45,ORD-000045,2023-05-11,2023-05-12,First Class,CUST-1900,Customer 1900,Corporate,Germany,Europe,Bavaria,New York,Technology,Phones,Smartphone,6,0.15,3896.79,326.39,1,2023,5,May,Q2
46,ORD-000046,2024-04-29,2024-05-01,Second Class,CUST-0916,Customer 0916,Consumer,United States,North America,Texas,Tokyo,Technology,Accessories,Wireless Keyboard,10,0.05,700.32,56.85,2,2024,4,April,Q2
47,ORD-000047,2024-10-08,2024-10-08,Same Day,CUST-1610,Customer 1610,Consumer,Spain,Europe,Madrid,Delhi,Technology,Phones,Smartphone,3,0.1,2010.23,213.04,0,2024,10,October,Q4
48,ORD-000048,2023-01-21,2023-01-24,Second Class,CUST-1419,Customer 1419,Consumer,Australia,Oceania,Queensland,São Paulo,Furniture,Chairs,Ergonomic Office Chair,2,0.3,471.21,20.32,3,2023,1,January,Q1
49,ORD-000049,2023-06-16,2023-06-20,Standard Class,CUST-0444,Customer 0444,Home Office,Germany,Europe,North Rhine-Westphalia,São Paulo,Furniture,Chairs,Ergonomic Office Chair,3,0.05,753.63,91.3,4,2023,6,June,Q2
50,ORD-000050,2023-10-01,2023-10-03,Second Class,CUST-0744,Customer 0744,Corporate,Brazil,South America,São Paulo,Berlin,Furniture,Furnishings,Office Desk Lamp,4,0.15,343.07,24.42,2,2023,10,October,Q4
51,ORD-000051,2024-01-23,2024-01-23,Same Day,CUST-1903,Customer 1903,Corporate,United Kingdom,Europe,Scotland,Tokyo,Office Supplies,Appliances,Printer,5,0.0,2401.61,315.3,0,2024,1,January,Q1
52,ORD-000052,2024-08-23,2024-08-24,First Class,CUST-0802,Customer 0802,Corporate,China,Asia,Zhejiang,Madrid,Technology,Copiers,Laser Copier,1,0.0,938.55,160.89,1,2024,8,August,Q3
53,ORD-000053,2023-11-12,2023-11-19,Standard Class,CUST-1703,Customer 1703,Home Office,United States,North America,Florida,Melbourne,Technology,Accessories,USB-C Hub,3,0.15,284.01,19.03,7,2023,11,November,Q4
54,ORD-000054,2023-01-14,2023-01-15,First Class,CUST-0678,Customer 0678,Consumer,Brazil,South America,São Paulo,Berlin,Office Supplies,Storage,Storage Box,2,0.2,179.62,0.8,1,2023,1,January,Q1
55,ORD-000055,2023-08-30,2023-09-02,Second Class,CUST-1425,Customer 1425,Consumer,United States,North America,California,New York,Office Supplies,Fasteners,Fastener Pack,6,0.15,61.39,13.62,3,2023,8,August,Q3
56,ORD-000056,2023-12-12,2023-12-14,First Class,CUST-1073,Customer 1073,Home Office,United States,North America,New York,Toronto,Technology,Accessories,Wireless Keyboard,1,0.0,61.87,13.2,2,2023,12,December,Q4
57,ORD-000057,2024-07-18,2024-07-23,Standard Class,CUST-0599,Customer 0599,Corporate,China,Asia,Zhejiang,Shanghai,Technology,Copiers,Laser Copier,4,0.0,3280.59,523.01,5,2024,7,July,Q3
58,ORD-000058,2023-12-06,2023-12-12,Standard Class,CUST-1655,Customer 1655,Consumer,United States,North America,Texas,Shanghai,Office Supplies,Paper,Copy Paper,2,0.2,66.66,1.39,6,2023,12,December,Q4
59,ORD-000059,2023-04-02,2023-04-09,Standard Class,CUST-0967,Customer 0967,Corporate,Germany,Europe,Saxony,Melbourne,Office Supplies,Art,Art Set,2,0.0,81.67,2.01,7,2023,4,April,Q2
60,ORD-000060,2024-01-02,2024-01-04,Second Class,CUST-1139,Customer 1139,Corporate,Germany,Europe,Saxony,São Paulo,Office Supplies,Labels,Address Labels,8,0.15,164.64,-2.02,2,2024,1,January,Q1
61,ORD-000061,2024-03-30,2024-04-01,Second Class,CUST-1798,Customer 1798,Home Office,Brazil,South America,Paraná,Shanghai,Office Supplies,Envelopes,Business Envelopes,2,0.0,40.98,12.02,2,2024,3,March,Q1
62,ORD-000062,2024-03-03,2024-03-05,Second Class,CUST-0234,Customer 0234,Consumer,Australia,Oceania,New South Wales,Mumbai,Technology,Copiers,Laser Copier,1,0.25,877.02,40.36,2,2024,3,March,Q1
63,ORD-000063,2024-05-23,2024-05-27,Second Class,CUST-0440,Customer 0440,Consumer,Canada,North America,Ontario,Sydney,Furniture,Furnishings,Office Desk Lamp,1,0.2,81.05,-6.19,4,2024,5,May,Q2
64,ORD-000064,2023-02-04,2023-02-10,Standard Class,CUST-1816,Customer 1816,Corporate,Australia,Oceania,Western Australia,Madrid,Furniture,Chairs,Ergonomic Office Chair,3,0.0,860.85,121.39,6,2023,2,February,Q1
65,ORD-000065,2023-07-25,2023-07-30,Standard Class,CUST-1340,Customer 1340,Home Office,Mexico,North America,Jalisco,Paris,Technology,Copiers,Laser Copier,4,0.15,2927.25,271.36,5,2023,7,July,Q3
66,ORD-000066,2023-03-22,2023-03-24,First Class,CUST-1864,Customer 1864,Consumer,Spain,Europe,Andalusia,Los Angeles,Office Supplies,Fasteners,Fastener Pack,2,0.0,24.3,-5.25,2,2023,3,March,Q1
67,ORD-000067,2024-07-15,2024-07-20,Standard Class,CUST-1146,Customer 1146,Home Office,Spain,Europe,Madrid,Shanghai,Technology,Copiers,Laser Copier,4,0.0,4065.85,639.07,5,2024,7,July,Q3
68,ORD-000068,2024-01-23,2024-01-23,Same Day,CUST-0503,Customer 0503,Corporate,Japan,Asia,Osaka,Delhi,Furniture,Tables,Conference Table,1,0.05,417.21,39.43,0,2024,1,January,Q1
69,ORD-000069,2023-01-02,2023-01-09,Standard Class,CUST-1924,Customer 1924,Consumer,Japan,Asia,Tokyo,Los Angeles,Office Supplies,Labels,Address Labels,6,0.1,104.3,9.92,7,2023,1,January,Q1
70,ORD-000070,2024-01-25,2024-01-30,Standard Class,CUST-1013,Customer 1013,Consumer,France,Europe,Nouvelle-Aquitaine,London,Office Supplies,Supplies,Office Supplies Kit,5,0.05,233.75,14.64,5,2024,1,January,Q1
71,ORD-000071,2024-07-19,2024-07-25,Standard Class,CUST-0630,Customer 0630,Corporate,China,Asia,Beijing,Melbourne,Technology,Phones,Smartphone,10,0.1,6859.82,720.74,6,2024,7,July,Q3
72,ORD-000072,2023-04-16,2023-04-20,Standard Class,CUST-1105,Customer 1105,Corporate,India,Asia,Tamil Nadu,Madrid,Technology,Accessories,USB-C Hub,7,0.0,645.92,76.24,4,2023,4,April,Q2
73,ORD-000073,2024-04-21,2024-04-22,Same Day,CUST-1474,Customer 1474,Home Office,Japan,Asia,Tokyo,Delhi,Furniture,Tables,Conference Table,2,0.0,674.45,89.77,1,2024,4,April,Q2
74,ORD-000074,2024-12-03,2024-12-10,Standard Class,CUST-1430,Customer 1430,Corporate,Australia,Oceania,Western Australia,Paris,Office Supplies,Fasteners,Fastener Pack,2,0.1,28.25,-4.77,7,2024,12,December,Q4
75,ORD-000075,2024-02-06,2024-02-13,Standard Class,CUST-0307,Customer 0307,Corporate,India,Asia,Maharashtra,Berlin,Furniture,Tables,Conference Table,5,0.1,1691.28,158.46,7,2024,2,February,Q1
76,ORD-000076,2024-12-30,2024-12-30,Same Day,CUST-0563,Customer 0563,Consumer,Brazil,South America,Rio de Janeiro,Bengaluru,Technology,Copiers,Laser Copier,1,0.15,904.03,70.36,0,2024,12,December,Q4
77,ORD-000077,2024-07-09,2024-07-11,Second Class,CUST-1892,Customer 1892,Home Office,Australia,Oceania,Western Australia,London,Technology,Accessories,USB-C Hub,2,0.1,176.43,23.71,2,2024,7,July,Q3
78,ORD-000078,2023-06-11,2023-06-11,Same Day,CUST-0400,Customer 0400,Corporate,United States,North America,Illinois,Delhi,Furniture,Chairs,Ergonomic Office Chair,1,0.2,233.01,13.85,0,2023,6,June,Q2
79,ORD-000079,2023-07-21,2023-07-25,Standard Class,CUST-0881,Customer 0881,Home Office,United States,North America,California,Berlin,Technology,Accessories,Wireless Keyboard,3,0.05,189.79,20.12,4,2023,7,July,Q3
80,ORD-000080,2023-09-27,2023-09-30,Standard Class,CUST-0981,Customer 0981,Home Office,Australia,Oceania,Victoria,Delhi,Furniture,Furnishings,Office Desk Lamp,3,0.0,228.26,30.14,3,2023,9,September,Q3
81,ORD-000081,2023-09-28,2023-10-02,Standard Class,CUST-0296,Customer 0296,Home Office,China,Asia,Jiangsu,Mumbai,Furniture,Tables,Conference Table,2,0.1,799.63,82.67,4,2023,9,September,Q3
82,ORD-000082,2024-03-31,2024-04-06,Standard Class,CUST-0904,Customer 0904,Home Office,United Kingdom,Europe,Scotland,Bengaluru,Furniture,Bookcases,Office Bookcase,1,0.15,159.35,3.77,6,2024,3,March,Q1
83,ORD-000083,2024-04-06,2024-04-12,Standard Class,CUST-1351,Customer 1351,Consumer,Canada,North America,Alberta,Berlin,Office Supplies,Fasteners,Fastener Pack,4,0.1,51.41,5.09,6,2024,4,April,Q2
84,ORD-000084,2024-12-27,2024-12-28,First Class,CUST-1984,Customer 1984,Home Office,France,Europe,Île-de-France,São Paulo,Technology,Machines,Desktop Computer,1,0.15,1032.72,120.93,1,2024,12,December,Q4
85,ORD-000085,2023-09-09,2023-09-10,Same Day,CUST-0839,Customer 0839,Consumer,Germany,Europe,Saxony,Berlin,Technology,Accessories,Wireless Keyboard,8,0.05,543.53,-59.73,1,2023,9,September,Q3
86,ORD-000086,2024-12-02,2024-12-03,Same Day,CUST-1540,Customer 1540,Home Office,United States,North America,Illinois,London,Technology,Machines,Desktop Computer,2,0.0,2237.33,411.21,1,2024,12,December,Q4
87,ORD-000087,2023-10-23,2023-10-29,Standard Class,CUST-1945,Customer 1945,Consumer,France,Europe,Occitanie,London,Furniture,Bookcases,Office Bookcase,4,0.15,763.7,46.49,6,2023,10,October,Q4
88,ORD-000088,2024-12-25,2025-01-01,Standard Class,CUST-0059,Customer 0059,Consumer,Spain,Europe,Madrid,São Paulo,Office Supplies,Labels,Address Labels,3,0.0,57.89,8.71,7,2024,12,December,Q4
89,ORD-000089,2024-12-20,2024-12-26,Standard Class,CUST-1606,Customer 1606,Corporate,Australia,Oceania,Western Australia,London,Technology,Copiers,Laser Copier,1,0.05,900.93,134.8,6,2024,12,December,Q4
90,ORD-000090,2023-12-04,2023-12-11,Standard Class,CUST-0768,Customer 0768,Corporate,United Kingdom,Europe,Scotland,Toronto,Furniture,Furnishings,Office Desk Lamp,3,0.1,248.11,13.88,7,2023,12,December,Q4
91,ORD-000091,2023-02-22,2023-02-25,Second Class,CUST-1874,Customer 1874,Home Office,Australia,Oceania,New South Wales,Toronto,Office Supplies,Storage,Storage Box,3,0.1,228.84,13.05,3,2023,2,February,Q1
92,ORD-000092,2023-08-05,2023-08-07,Second Class,CUST-1259,Customer 1259,Corporate,Germany,Europe,Bavaria,Madrid,Furniture,Furnishings,Office Desk Lamp,6,0.1,523.35,35.34,2,2023,8,August,Q3
93,ORD-000093,2023-07-07,2023-07-12,Standard Class,CUST-1743,Customer 1743,Home Office,China,Asia,Shanghai,London,Technology,Accessories,USB-C Hub,5,0.0,345.95,43.55,5,2023,7,July,Q3
94,ORD-000094,2024-01-15,2024-01-16,First Class,CUST-1365,Customer 1365,Corporate,France,Europe,Auvergne-Rhône-Alpes,New York,Technology,Machines,Desktop Computer,1,0.3,1020.55,49.78,1,2024,1,January,Q1
95,ORD-000095,2024-05-07,2024-05-09,First Class,CUST-1168,Customer 1168,Home Office,Brazil,South America,Paraná,Delhi,Technology,Phones,Smartphone,2,0.15,1385.04,109.78,2,2024,5,May,Q2
96,ORD-000096,2023-02-10,2023-02-12,First Class,CUST-1919,Customer 1919,Consumer,Germany,Europe,Bavaria,Mumbai,Office Supplies,Binders,Premium Binder,2,0.05,51.68,-15.78,2,2023,2,February,Q1
97,ORD-000097,2023-06-06,2023-06-10,Standard Class,CUST-1591,Customer 1591,Corporate,China,Asia,Shanghai,São Paulo,Office Supplies,Binders,Premium Binder,1,0.0,24.2,6.48,4,2023,6,June,Q2
98,ORD-000098,2023-01-15,2023-01-15,Same Day,CUST-1260,Customer 1260,Corporate,India,Asia,Maharashtra,Delhi,Office Supplies,Appliances,Printer,3,0.0,1132.23,134.8,0,2023,1,January,Q1
99,ORD-000099,2023-03-06,2023-03-08,First Class,CUST-0536,Customer 0536,Home Office,China,Asia,Zhejiang,Madrid,Office Supplies,Envelopes,Business Envelopes,10,0.15,207.92,-7.15,2,2023,3,March,Q1
100,ORD-000100,2024-06-04,2024-06-10,Standard Class,CUST-1662,Customer 1662,Consumer,China,Asia,Shanghai,São Paulo,Technology,Copiers,Laser Copier,3,0.05,2954.78,412.84,6,2024,6,June,Q2
101,ORD-000101,2023-12-10,2023-12-13,Standard Class,CUST-0267,Customer 0267,Consumer,Germany,Europe,Bavaria,Delhi,Technology,Copiers,Laser Copier,5,0.0,4885.4,788.32,3,2023,12,December,Q4
102,ORD-000102,2023-05-09,2023-05-15,Standard Class,CUST-0839,Customer 0839,Corporate,Australia,Oceania,New South Wales,São Paulo,Technology,Accessories,USB-C Hub,4,0.05,279.15,39.41,6,2023,5,May,Q2
103,ORD-000103,2024-10-09,2024-10-10,First Class,CUST-1706,Customer 1706,Consumer,United Kingdom,Europe,Scotland,Mumbai,Office Supplies,Binders,Premium Binder,6,0.1,159.81,-12.16,1,2024,10,October,Q4
104,ORD-000104,2024-04-16,2024-04-23,Standard Class,CUST-1667,Customer 1667,Consumer,Germany,Europe,Hesse,Berlin,Office Supplies,Appliances,Printer,2,0.15,975.46,63.33,7,2024,4,April,Q2
105,ORD-000105,2023-03-04,2023-03-07,Standard Class,CUST-0741,Customer 0741,Home Office,Mexico,North America,Yucatán,Paris,Office Supplies,Paper,Copy Paper,5,0.1,149.25,0.18,3,2023,3,March,Q1
106,ORD-000106,2023-05-19,2023-05-22,Second Class,CUST-0639,Customer 0639,Consumer,Canada,North America,British Columbia,Melbourne,Office Supplies,Labels,Address Labels,6,0.2,129.45,2.73,3,2023,5,May,Q2
107,ORD-000107,2024-05-13,2024-05-14,First Class,CUST-0809,Customer 0809,Home Office,Japan,Asia,Osaka,Mumbai,Office Supplies,Fasteners,Fastener Pack,1,0.0,11.28,12.37,1,2024,5,May,Q2
108,ORD-000108,2024-08-15,2024-08-17,Second Class,CUST-1558,Customer 1558,Corporate,United Kingdom,Europe,England,New York,Furniture,Bookcases,Office Bookcase,2,0.1,399.13,19.46,2,2024,8,August,Q3
109,ORD-000109,2024-01-27,2024-01-31,Second Class,CUST-1562,Customer 1562,Corporate,Brazil,South America,Paraná,Sydney,Furniture,Bookcases,Office Bookcase,8,0.0,1434.2,172.23,4,2024,1,January,Q1
110,ORD-000110,2024-11-05,2024-11-08,Second Class,CUST-1532,Customer 1532,Corporate,United Kingdom,Europe,Northern Ireland,Toronto,Office Supplies,Envelopes,Business Envelopes,5,0.1,98.75,8.14,3,2024,11,November,Q4
111,ORD-000111,2024-02-23,2024-02-27,Standard Class,CUST-0772,Customer 0772,Home Office,Spain,Europe,Andalusia,Madrid,Furniture,Furnishings,Office Desk Lamp,2,0.1,140.9,5.05,4,2024,2,February,Q1
112,ORD-000112,2023-10-16,2023-10-17,First Class,CUST-0886,Customer 0886,Home Office,Australia,Oceania,Queensland,Madrid,Furniture,Chairs,Ergonomic Office Chair,3,0.0,782.13,131.29,1,2023,10,October,Q4
113,ORD-000113,2024-01-14,2024-01-20,Standard Class,CUST-1296,Customer 1296,Corporate,Brazil,South America,Paraná,Paris,Furniture,Tables,Conference Table,2,0.05,677.58,76.4,6,2024,1,January,Q1
114,ORD-000114,2024-05-04,2024-05-07,Standard Class,CUST-1727,Customer 1727,Home Office,India,Asia,Delhi,Melbourne,Office Supplies,Paper,Copy Paper,3,0.2,101.9,-5.46,3,2024,5,May,Q2
115,ORD-000115,2023-08-19,2023-08-24,Standard Class,CUST-0638,Customer 0638,Consumer,Germany,Europe,North Rhine-Westphalia,São Paulo,Office Supplies,Appliances,Printer,2,0.0,774.43,92.09,5,2023,8,August,Q3
116,ORD-000116,2023-02-10,2023-02-14,Second Class,CUST-0763,Customer 0763,Consumer,China,Asia,Shanghai,Sydney,Office Supplies,Labels,Address Labels,2,0.05,36.25,2.23,4,2023,2,February,Q1
117,ORD-000117,2023-01-28,2023-01-30,First Class,CUST-1425,Customer 1425,Consumer,Australia,Oceania,Victoria,Sydney,Office Supplies,Envelopes,Business Envelopes,4,0.25,90.58,-28.9,2,2023,1,January,Q1
118,ORD-000118,2023-05-15,2023-05-18,Second Class,CUST-0531,Customer 0531,Consumer,Germany,Europe,North Rhine-Westphalia,Melbourne,Office Supplies,Supplies,Office Supplies Kit,5,0.1,273.48,10.32,3,2023,5,May,Q2
119,ORD-000119,2023-07-20,2023-07-25,Standard Class,CUST-1780,Customer 1780,Home Office,Spain,Europe,Andalusia,Toronto,Office Supplies,Appliances,Printer,6,0.15,2316.56,154.94,5,2023,7,July,Q3
120,ORD-000120,2023-02-02,2023-02-06,Second Class,CUST-0079,Customer 0079,Consumer,Australia,Oceania,New South Wales,Melbourne,Office Supplies,Storage,Storage Box,1,0.2,85.98,-10.31,4,2023,2,February,Q1
121,ORD-000121,2023-02-17,2023-02-21,Standard Class,CUST-1799,Customer 1799,Corporate,France,Europe,Nouvelle-Aquitaine,Bengaluru,Office Supplies,Supplies,Office Supplies Kit,6,0.0,360.53,-62.65,4,2023,2,February,Q1
122,ORD-000122,2024-05-17,2024-05-18,Same Day,CUST-1602,Customer 1602,Corporate,Spain,Europe,Valencia,London,Office Supplies,Envelopes,Business Envelopes,2,0.0,52.26,12.07,1,2024,5,May,Q2
123,ORD-000123,2024-02-11,2024-02-12,Same Day,CUST-1335,Customer 1335,Consumer,Mexico,North America,Jalisco,Tokyo,Technology,Accessories,USB-C Hub,3,0.15,270.32,26.91,1,2024,2,February,Q1
