CustomerID,Gender,Age,City,TenureMonths,PlanType,MonthlyCharges,Contract,PaymentMethod,SupportCallsLast6Mo,AutoPayEnabled,SatisfactionScore,Churn
CUST-1960,Female,24,Delhi,9,Standard,863.22,2 Year,UPI,1,Yes,1.0,No
CUST-1730,Male,54,BENGALURU,11,Premium,1423.57,Month-to-Month,Credit Card,3,Yes,3.0,Yes
CUST-2108,Female,75,Bengaluru,52,Standard,881.06,2 Year,UPI,4,No,3.0,No
CUST-1494,Male,51,Chennai,58,Basic,552.07,1 Year,Cash,1,Yes,2.0,No
CUST-2049,Female,19,Delhi,20,Basic,524.7,2 Year,UPI,4,Yes,2.0,No
CUST-2067,Male,34,Hyderabad,46,Premium,1235.94,2 Year,UPI,1,Yes,,No
CUST-1116,Female,38,chennai,57,Standard,866.53,1 Year,UPI,0,No,5.0,No
CUST-1568,Male,67,Pune,30,Basic,545.54,Month-to-Month,Credit Card,0,No,3.0,Yes
CUST-1797,Female,47,Hyderabad,40,Premium,1367.97,Month-to-Month,Net Banking,4,Yes,4.0,No
CUST-2189,Male,66,delhi,28,Basic,507.53,Month-to-Month,Credit Card,1,No,3.0,Yes
CUST-1088,Female,75,mumbai,15,Premium,1458.39,Month-to-Month,UPI,3,No,5.0,No
CUST-1862,Male,55,Hyderabad,52,Basic,530.36,Month-to-Month,,2,No,2.0,No
CUST-1257,Female,38,delhi,58,Standard,982.88,Month-to-Month,UPI,1,No,2.0,Yes
CUST-1653,Female,41,delhi,52,Premium,1247.1,Month-to-Month,Credit Card,2,Yes,3.0,No
CUST-1338,Female,62,hyderabad,43,Standard,897.87,Month-to-Month,Cash,2,Yes,1.0,Yes
CUST-1696,Female,49,Pune,48,Basic,540.12,Month-to-Month,Credit Card,0,No,3.0,No
CUST-1237,Male,35,Bengaluru,42,Premium,1284.53,Month-to-Month,Net Banking,5,Yes,1.0,Yes
CUST-1027,Male,46,Mumbai,36,Basic,513.66,Month-to-Month,Credit Card,6,Yes,3.0,Yes
CUST-1469,Male,48,bengaluru,60,Standard,967.07,1 Year,UPI,2,No,4.0,No
CUST-2002,Female,56,Delhi,38,Standard,859.86,Month-to-Month,Net Banking,2,Yes,4.0,No
CUST-1556,Male,51,Pune,51,Standard,847.92,Month-to-Month,Net Banking,1,No,5.0,No
CUST-1180,Male,28,Delhi,36,Basic,524.05,2 Year,Credit Card,5,Yes,,Yes
CUST-1163,Female,43,chennai,28,Basic,512.39,1 Year,Credit Card,1,Yes,2.0,No
CUST-1045,Male,38,BENGALURU,59,Basic,515.44,Month-to-Month,Net Banking,0,Yes,4.0,No
CUST-1962,Female,33,MUMBAI,44,Premium,1220.03,Month-to-Month,Credit Card,0,Yes,3.0,No
CUST-1117,Female,35,Delhi,46,Basic,511.7,Month-to-Month,UPI,2,No,5.0,No
CUST-1716,Female,56,bengaluru,20,Premium,1351.88,1 Year,Net Banking,1,No,2.0,No
CUST-1681,Female,66,bengaluru,16,Standard,900.24,2 Year,Credit Card,2,No,3.0,No
CUST-2138,Male,75,Delhi,8,Basic,556.95,2 Year,UPI,1,No,1.0,Yes
CUST-1033,Male,64,Hyderabad,1,Basic,564.69,1 Year,Credit Card,1,No,3.0,Yes
CUST-1768,Female,40,bengaluru,40,Standard,936.53,2 Year,Credit Card,2,No,5.0,No
CUST-1953,Male,26,bengaluru,20,Basic,525.82,Month-to-Month,UPI,1,No,,No
CUST-1231,Female,72,Hyderabad,1,Standard,949.0,Month-to-Month,Cash,3,No,4.0,Yes
CUST-1920,Male,29,MUMBAI,17,Standard,853.12,Month-to-Month,Credit Card,3,No,1.0,Yes
CUST-2141,Female,27,bengaluru,1,Premium,1333.94,Month-to-Month,UPI,0,Yes,5.0,No
CUST-1142,Male,32,MUMBAI,46,Basic,500.26,1 Year,Credit Card,0,No,1.0,No
CUST-1544,Female,43,Delhi,30,Standard,1038.59,Month-to-Month,Credit Card,1,Yes,5.0,No
CUST-1158,Female,30,Chennai,43,Standard,889.49,2 Year,UPI,3,Yes,3.0,No
CUST-2168,Male,75,bengaluru,8,Premium,1338.91,1 Year,Credit Card,2,Yes,2.0,Yes
CUST-1930,Male,23,pune,56,Basic,595.4,1 Year,UPI,0,Yes,4.0,No
CUST-1762,Male,61,Chennai,33,Standard,729.14,Month-to-Month,UPI,0,Yes,3.0,No
CUST-1291,Male,62,Delhi,52,Standard,866.09,Month-to-Month,Cash,2,Yes,2.0,Yes
CUST-1248,Female,52,Chennai,32,Basic,440.97,1 Year,Credit Card,2,Yes,2.0,No
CUST-2047,Male,58,Pune,50,Standard,904.95,Month-to-Month,Credit Card,3,Yes,4.0,No
CUST-1082,Female,24,Delhi,52,Standard,873.8,2 Year,UPI,2,Yes,1.0,No
CUST-1186,Female,56,BENGALURU,28,Standard,927.12,1 Year,Cash,1,Yes,4.0,No
CUST-1995,Male,55,mumbai,39,Premium,1362.27,Month-to-Month,Cash,0,No,2.0,No
CUST-2164,Female,26,Delhi,37,Standard,866.51,1 Year,UPI,0,No,5.0,No
CUST-1740,Male,21,mumbai,10,Basic,383.82,Month-to-Month,Credit Card,1,Yes,5.0,Yes
CUST-1034,Female,31,MUMBAI,19,Basic,470.7,1 Year,Cash,3,Yes,3.0,No
CUST-1148,Male,50,Hyderabad,56,Standard,902.74,2 Year,UPI,1,No,5.0,No
CUST-2140,Female,67,Chennai,12,Standard,914.97,Month-to-Month,Credit Card,1,No,4.0,No
CUST-1666,Male,41,Delhi,38,Premium,1350.85,2 Year,Credit Card,0,No,1.0,No
CUST-1401,Male,31,Hyderabad,56,Standard,910.0,2 Year,UPI,0,Yes,3.0,No
CUST-1679,Female,22,Hyderabad,35,Basic,526.44,Month-to-Month,Cash,3,Yes,1.0,No
CUST-1584,Male,32,hyderabad,53,Standard,985.08,Month-to-Month,Credit Card,1,Yes,5.0,No
CUST-1032,Male,19,delhi,4,Basic,543.79,Month-to-Month,Credit Card,0,No,,Yes
CUST-1518,Female,75,Hyderabad,23,Premium,1192.53,1 Year,UPI,4,No,3.0,No
CUST-1115,Female,25,Delhi,33,Basic,488.29,Month-to-Month,Net Banking,2,No,3.0,No
CUST-1630,Male,37,delhi,11,Standard,897.54,Month-to-Month,Net Banking,6,No,4.0,Yes
CUST-2010,Male,38,Delhi,45,Premium,1413.17,Month-to-Month,UPI,0,Yes,3.0,No
CUST-1483,Male,58,Mumbai,31,Premium,1286.59,2 Year,UPI,1,No,1.0,No
CUST-1533,Female,28,delhi,54,Standard,896.09,Month-to-Month,UPI,0,Yes,2.0,Yes
CUST-1982,Female,44,Hyderabad,49,Basic,491.65,Month-to-Month,Cash,1,No,5.0,No
CUST-1031,Female,49,Mumbai,29,Basic,520.78,Month-to-Month,Net Banking,5,No,2.0,Yes
CUST-1788,Male,33,Bengaluru,11,Basic,532.75,2 Year,UPI,4,No,3.0,Yes
CUST-1943,Female,42,chennai,42,Premium,1359.91,2 Year,Net Banking,3,No,2.0,No
CUST-2060,Female,72,Delhi,24,Basic,552.27,Month-to-Month,Net Banking,3,No,5.0,Yes
CUST-1286,Male,68,Hyderabad,37,Premium,1389.96,2 Year,UPI,6,Yes,5.0,No
CUST-1795,Male,20,Hyderabad,8,Basic,502.96,1 Year,Credit Card,1,Yes,3.0,No
CUST-1514,Female,38,delhi,29,Basic,505.08,1 Year,Credit Card,1,Yes,2.0,No
CUST-1385,Female,19,hyderabad,25,Standard,867.98,Month-to-Month,UPI,4,No,3.0,Yes
CUST-1138,Female,29,Mumbai,36,Standard,889.28,Month-to-Month,UPI,3,Yes,4.0,No
CUST-1337,Female,53,DELHI,8,Standard,832.43,Month-to-Month,UPI,3,Yes,3.0,Yes
CUST-1100,Male,53,Hyderabad,57,Basic,496.53,1 Year,UPI,1,No,3.0,No
CUST-1292,Male,35,mumbai,47,Basic,504.8,Month-to-Month,Credit Card,1,No,4.0,No
CUST-1868,Male,59,MUMBAI,57,Standard,913.73,Month-to-Month,UPI,6,No,3.0,Yes
CUST-1622,Male,48,Chennai,29,Basic,481.94,Month-to-Month,Credit Card,0,Yes,2.0,No
CUST-1899,Male,63,BENGALURU,56,Basic,515.35,Month-to-Month,Net Banking,5,Yes,5.0,Yes
CUST-1886,Male,31,Hyderabad,49,Basic,536.9,Month-to-Month,UPI,0,No,3.0,No
CUST-1037,Male,28,Bengaluru,10,Standard,853.54,1 Year,Net Banking,0,Yes,,No
CUST-1975,Male,55,delhi,59,Premium,1228.74,1 Year,Credit Card,2,Yes,1.0,No
CUST-1001,Male,29,Hyderabad,27,Basic,484.22,Month-to-Month,UPI,1,No,3.0,No
CUST-1643,Male,39,Bengaluru,3,Standard,953.92,Month-to-Month,UPI,0,Yes,2.0,No
CUST-1990,Female,72,Delhi,14,Standard,905.72,Month-to-Month,Credit Card,2,Yes,4.0,No
CUST-2085,Female,62,Hyderabad,17,Standard,955.62,1 Year,Net Banking,2,No,4.0,No
CUST-2145,Male,44,Bengaluru,51,Standard,921.96,Month-to-Month,Cash,2,No,1.0,Yes
CUST-2062,Female,25,BENGALURU,8,Premium,1306.37,1 Year,,0,Yes,5.0,No
CUST-1670,Male,27,pune,50,Basic,566.62,1 Year,UPI,0,No,2.0,No
CUST-1492,Female,28,Chennai,9,Standard,798.3,1 Year,,1,Yes,4.0,No
CUST-1496,Male,63,mumbai,48,Standard,820.37,Month-to-Month,,1,No,3.0,No
CUST-1376,Male,73,Bengaluru,7,Standard,958.98,Month-to-Month,Cash,2,No,4.0,Yes
CUST-1472,Female,70,Mumbai,58,Basic,485.65,Month-to-Month,Credit Card,4,Yes,3.0,No
CUST-1375,Male,61,bengaluru,3,Standard,839.6,Month-to-Month,Credit Card,2,No,4.0,No
CUST-1966,Male,56,hyderabad,7,Standard,1011.95,1 Year,UPI,4,Yes,,Yes
CUST-1596,Male,63,mumbai,20,Standard,817.27,Month-to-Month,Credit Card,1,Yes,1.0,Yes
CUST-1828,Male,53,delhi,57,Standard,890.44,Month-to-Month,UPI,1,No,2.0,Yes
CUST-2171,Female,39,MUMBAI,35,Standard,928.47,Month-to-Month,Cash,0,No,5.0,Yes
CUST-1296,Female,50,MUMBAI,17,Standard,958.42,Month-to-Month,Cash,4,No,,Yes
CUST-2009,Male,62,Delhi,3,Basic,509.47,2 Year,UPI,0,No,5.0,No
CUST-1464,Female,63,Delhi,40,Premium,1291.28,Month-to-Month,Credit Card,3,No,2.0,Yes
CUST-1061,Male,66,bengaluru,36,Standard,906.54,1 Year,Credit Card,0,Yes,,No
CUST-2050,Male,65,Delhi,52,Standard,1048.51,1 Year,Net Banking,1,No,3.0,No
CUST-1956,Male,26,Hyderabad,21,Premium,1196.08,1 Year,Credit Card,0,No,4.0,No
CUST-1348,Male,27,hyderabad,42,Standard,850.99,Month-to-Month,UPI,0,No,2.0,Yes
CUST-1140,Female,63,Delhi,13,Premium,1302.94,Month-to-Month,UPI,0,No,,Yes
CUST-1374,Female,73,hyderabad,49,Basic,513.65,Month-to-Month,UPI,2,No,2.0,No
CUST-1173,Female,32,DELHI,58,Premium,1367.52,1 Year,Net Banking,0,No,4.0,No
CUST-1838,Male,74,Delhi,53,Standard,876.29,Month-to-Month,Net Banking,0,No,4.0,No
CUST-1126,Male,62,Mumbai,58,Standard,822.13,Month-to-Month,UPI,3,No,5.0,Yes
CUST-2008,Female,67,Hyderabad,28,Standard,739.71,Month-to-Month,UPI,1,Yes,2.0,Yes
CUST-1532,Female,43,mumbai,11,Premium,1351.34,Month-to-Month,Credit Card,1,No,2.0,Yes
CUST-1602,Male,25,Chennai,37,Basic,491.73,1 Year,UPI,3,Yes,3.0,No
CUST-2066,Female,32,Chennai,23,Basic,479.87,Month-to-Month,,1,No,5.0,Yes
CUST-1409,Female,51,MUMBAI,44,Premium,1370.63,2 Year,Net Banking,2,No,4.0,No
CUST-1419,Female,67,bengaluru,41,Standard,995.92,Month-to-Month,Net Banking,1,No,4.0,No
CUST-1490,Female,48,Mumbai,36,Basic,446.29,Month-to-Month,Net Banking,2,Yes,4.0,No
CUST-1255,Male,66,bengaluru,49,Standard,1070.12,Month-to-Month,Credit Card,1,Yes,5.0,No
CUST-1355,Male,22,BENGALURU,54,Standard,829.0,Month-to-Month,Cash,1,No,,Yes
CUST-2044,Female,34,delhi,13,Standard,864.75,1 Year,UPI,3,Yes,2.0,No
CUST-1424,Male,40,Mumbai,53,Premium,1217.46,Month-to-Month,UPI,5,No,,No
CUST-1195,Male,45,hyderabad,22,Standard,817.43,1 Year,Credit Card,1,No,3.0,No
CUST-1866,Female,47,Delhi,3,Basic,540.18,1 Year,,2,No,2.0,Yes
CUST-1773,Male,61,Mumbai,3,Standard,974.52,1 Year,UPI,1,No,4.0,No
CUST-1368,Female,64,Bengaluru,26,Basic,589.95,Month-to-Month,Net Banking,4,Yes,3.0,Yes
CUST-1447,Female,72,Mumbai,45,Basic,478.03,2 Year,UPI,2,No,3.0,No
CUST-1029,Female,28,BENGALURU,60,Premium,1272.19,1 Year,Credit Card,4,Yes,3.0,No
CUST-1458,Male,57,delhi,29,Basic,429.36,1 Year,Net Banking,1,No,4.0,No
CUST-1977,Female,67,pune,32,Premium,1195.32,Month-to-Month,UPI,3,Yes,1.0,Yes
CUST-1433,Female,38,MUMBAI,32,Basic,414.4,2 Year,Cash,2,No,2.0,No
CUST-1736,Female,50,Hyderabad,59,Standard,881.9,Month-to-Month,Credit Card,0,Yes,1.0,Yes
CUST-2020,Male,28,MUMBAI,57,Basic,553.13,Month-to-Month,Credit Card,2,Yes,3.0,No
CUST-1285,Female,68,DELHI,47,Standard,886.91,2 Year,Credit Card,3,No,3.0,No
CUST-1577,Male,64,delhi,13,Basic,481.09,2 Year,Credit Card,1,No,5.0,No
CUST-1301,Male,65,bengaluru,37,Basic,476.17,2 Year,UPI,3,Yes,1.0,No
CUST-1211,Female,28,Hyderabad,38,Premium,1369.54,Month-to-Month,UPI,3,No,5.0,No
CUST-1190,Male,67,Mumbai,11,Basic,485.03,Month-to-Month,Net Banking,3,No,,Yes
CUST-1219,Female,62,pune,28,Basic,512.07,Month-to-Month,UPI,1,No,,No
CUST-1934,Female,19,Delhi,13,Standard,850.71,1 Year,Credit Card,2,No,3.0,No
CUST-1025,Male,32,mumbai,41,Premium,1359.98,1 Year,UPI,0,No,2.0,No
CUST-1268,Female,67,mumbai,39,Basic,479.18,Month-to-Month,Net Banking,0,Yes,3.0,No
CUST-2134,Male,31,delhi,14,Premium,1279.49,Month-to-Month,UPI,0,No,4.0,No
CUST-1308,Male,19,mumbai,33,Basic,451.89,Month-to-Month,Net Banking,2,Yes,3.0,No
CUST-1128,Female,50,DELHI,11,Basic,504.75,1 Year,UPI,1,No,1.0,No
CUST-1501,Female,51,Mumbai,52,Standard,838.34,Month-to-Month,Net Banking,3,Yes,,Yes
CUST-1073,Male,34,Bengaluru,48,Standard,930.84,Month-to-Month,Credit Card,1,Yes,5.0,No
CUST-1632,Female,71,MUMBAI,54,Premium,1357.71,Month-to-Month,UPI,0,No,,No
CUST-1570,Male,60,Chennai,30,Basic,558.04,2 Year,Net Banking,0,Yes,3.0,No
CUST-1722,Male,55,Chennai,11,Basic,429.77,1 Year,UPI,0,Yes,,No
CUST-1380,Male,23,MUMBAI,53,Basic,518.47,Month-to-Month,Net Banking,2,No,1.0,Yes
CUST-1183,Female,26,Bengaluru,43,Basic,430.29,Month-to-Month,Net Banking,3,Yes,2.0,Yes
CUST-1511,Female,71,bengaluru,9,Standard,1002.04,2 Year,UPI,0,Yes,4.0,No
CUST-1775,Female,53,BENGALURU,56,Basic,465.43,Month-to-Month,Credit Card,2,No,3.0,No
CUST-1571,Female,62,Bengaluru,45,Basic,439.46,Month-to-Month,UPI,1,No,4.0,No
CUST-1615,Female,28,Bengaluru,6,Premium,1226.92,Month-to-Month,Net Banking,0,No,3.0,Yes
CUST-1210,Male,31,Delhi,1,Premium,1235.08,Month-to-Month,,2,Yes,2.0,Yes
CUST-1641,Male,30,Hyderabad,32,Premium,1124.95,Month-to-Month,Cash,2,No,,Yes
CUST-1101,Male,26,mumbai,41,Basic,521.61,Month-to-Month,,0,Yes,1.0,Yes
CUST-1225,Male,53,Bengaluru,47,Premium,1397.12,2 Year,UPI,0,No,5.0,No
CUST-1461,Male,44,Chennai,3,Basic,481.86,1 Year,UPI,2,No,5.0,No
CUST-1013,Female,40,Bengaluru,34,Premium,1221.63,Month-to-Month,UPI,0,No,,No
CUST-1525,Female,50,Delhi,37,Premium,1308.91,Month-to-Month,Cash,0,No,3.0,No
CUST-1994,Female,71,Chennai,60,Standard,890.72,2 Year,Cash,1,No,1.0,Yes
CUST-1574,Female,60,Delhi,21,Standard,784.58,1 Year,Net Banking,0,No,3.0,No
CUST-1035,Female,37,Bengaluru,26,Premium,1203.13,1 Year,Net Banking,1,No,3.0,Yes
CUST-2032,Female,52,bengaluru,29,Standard,936.59,Month-to-Month,Net Banking,2,Yes,2.0,No
CUST-1756,Female,75,mumbai,46,Standard,904.08,Month-to-Month,UPI,4,Yes,3.0,Yes
CUST-1648,Female,26,delhi,15,Standard,930.6,Month-to-Month,UPI,4,No,3.0,No
CUST-1569,Female,61,Delhi,1,Premium,1338.01,Month-to-Month,Credit Card,1,No,1.0,Yes
CUST-1606,Male,47,MUMBAI,32,Premium,1341.65,Month-to-Month,UPI,2,Yes,2.0,No
CUST-1765,Male,34,delhi,43,Standard,859.14,Month-to-Month,UPI,0,Yes,,No
CUST-1783,Male,33,Hyderabad,38,Basic,514.33,2 Year,Credit Card,1,No,1.0,No
CUST-1869,Female,47,MUMBAI,40,Premium,1336.16,Month-to-Month,UPI,0,No,4.0,No
CUST-2000,Male,75,mumbai,59,Premium,1273.14,Month-to-Month,Credit Card,3,Yes,4.0,No
CUST-1767,Female,51,Mumbai,12,Standard,877.14,Month-to-Month,UPI,1,No,3.0,Yes
CUST-1019,Male,21,Delhi,10,Basic,546.9,Month-to-Month,Net Banking,2,No,3.0,No
CUST-1684,Female,51,Bengaluru,10,Standard,920.0,2 Year,UPI,4,No,4.0,Yes
CUST-1769,Male,47,DELHI,54,Standard,831.81,Month-to-Month,UPI,2,No,2.0,No
CUST-1552,Female,43,mumbai,26,Premium,1230.38,Month-to-Month,Credit Card,1,No,2.0,No
CUST-1865,Male,52,delhi,20,Premium,1303.97,Month-to-Month,Credit Card,0,Yes,2.0,Yes
CUST-2113,Male,49,Hyderabad,23,Standard,957.96,Month-to-Month,Cash,1,Yes,1.0,Yes
CUST-1324,Male,23,Delhi,42,Premium,1205.02,Month-to-Month,UPI,1,No,5.0,No
CUST-1519,Female,24,delhi,31,Basic,462.35,1 Year,UPI,0,No,4.0,No
CUST-2157,Male,28,BENGALURU,40,Standard,916.43,2 Year,Net Banking,5,Yes,4.0,No
CUST-1288,Female,71,Delhi,13,Standard,845.99,Month-to-Month,Credit Card,3,Yes,1.0,No
CUST-1411,Male,67,mumbai,54,Premium,1143.08,Month-to-Month,Credit Card,2,No,5.0,No
CUST-2039,Male,38,delhi,58,Basic,423.75,Month-to-Month,Net Banking,2,No,4.0,No
CUST-2115,Female,27,delhi,30,Premium,1440.86,2 Year,Credit Card,4,No,1.0,No
CUST-1620,Female,56,Hyderabad,56,Premium,1319.03,2 Year,Credit Card,2,No,,No
CUST-1693,Male,52,Hyderabad,43,Standard,872.2,Month-to-Month,Credit Card,1,No,5.0,No
CUST-1819,Male,49,mumbai,35,Basic,449.36,1 Year,UPI,1,No,,No
CUST-1827,Male,31,mumbai,55,Standard,871.19,Month-to-Month,Credit Card,0,Yes,4.0,No
CUST-1932,Female,46,pune,9,Premium,1249.94,2 Year,UPI,0,No,1.0,No
CUST-1450,Male,27,Delhi,13,Premium,1315.05,Month-to-Month,UPI,2,Yes,3.0,Yes
CUST-1881,Male,19,Delhi,56,Premium,1476.22,1 Year,UPI,1,Yes,5.0,No
CUST-1971,Female,69,DELHI,16,Premium,1337.01,Month-to-Month,Credit Card,2,Yes,5.0,Yes
CUST-1565,Male,40,Delhi,3,Basic,460.82,1 Year,UPI,1,Yes,4.0,No
CUST-1400,Female,68,delhi,56,Premium,1255.97,Month-to-Month,UPI,1,Yes,4.0,No
CUST-1007,Male,64,Mumbai,20,Standard,942.54,Month-to-Month,Cash,2,Yes,3.0,Yes
CUST-2188,Male,56,Delhi,38,Standard,804.9,1 Year,Net Banking,1,No,2.0,Yes
CUST-1671,Male,42,bengaluru,49,Standard,858.97,1 Year,Credit Card,1,Yes,4.0,No
CUST-1910,Male,70,bengaluru,38,Standard,858.24,1 Year,UPI,5,Yes,5.0,No
CUST-1091,Male,63,Mumbai,59,Standard,882.32,1 Year,Cash,2,No,1.0,No
CUST-1810,Male,74,Delhi,59,Standard,1018.9,1 Year,Credit Card,3,No,5.0,Yes
CUST-1834,Male,58,DELHI,46,Standard,991.74,Month-to-Month,Credit Card,1,No,1.0,No
CUST-1958,Male,63,Mumbai,13,Premium,1429.21,2 Year,UPI,2,No,4.0,No
CUST-2096,Male,48,bengaluru,43,Basic,416.85,1 Year,Cash,1,No,3.0,No
CUST-1253,Female,24,MUMBAI,46,Basic,599.84,2 Year,Net Banking,0,Yes,4.0,No
CUST-1270,Male,68,delhi,41,Basic,494.86,Month-to-Month,Cash,1,Yes,2.0,No
CUST-1988,Male,39,Delhi,60,Basic,450.5,Month-to-Month,UPI,3,No,1.0,Yes
CUST-1928,Female,35,MUMBAI,42,Basic,500.98,2 Year,Cash,1,No,4.0,No
CUST-1623,Male,24,chennai,7,Standard,863.61,Month-to-Month,UPI,2,No,3.0,No
CUST-1196,Male,37,bengaluru,7,Standard,933.52,Month-to-Month,UPI,3,No,5.0,Yes
CUST-2082,Male,40,Bengaluru,2,Standard,811.77,Month-to-Month,Cash,5,No,3.0,Yes
CUST-1150,Male,57,DELHI,46,Standard,960.94,1 Year,Credit Card,5,No,2.0,No
CUST-2059,Male,28,delhi,17,Premium,1206.88,1 Year,UPI,5,No,1.0,Yes
CUST-1304,Female,59,hyderabad,18,Basic,452.39,1 Year,UPI,4,Yes,3.0,No
CUST-2149,Female,30,bengaluru,31,Standard,904.5,1 Year,Cash,0,No,4.0,No
CUST-2173,Female,47,Hyderabad,11,Basic,519.64,1 Year,UPI,1,No,3.0,No
CUST-1726,Female,62,bengaluru,54,Standard,847.04,Month-to-Month,Cash,4,Yes,5.0,Yes
CUST-1703,Male,42,Mumbai,55,Standard,832.57,2 Year,UPI,2,No,3.0,No
CUST-1942,Female,27,Chennai,15,Basic,539.41,2 Year,Credit Card,3,No,2.0,Yes
CUST-1598,Male,46,bengaluru,33,Basic,552.09,Month-to-Month,Net Banking,1,No,1.0,Yes
CUST-1250,Female,71,pune,32,Premium,1403.11,Month-to-Month,Cash,0,No,4.0,No
CUST-1631,Female,21,Delhi,33,Standard,1026.0,1 Year,Credit Card,4,Yes,2.0,Yes
CUST-1883,Male,19,MUMBAI,10,Standard,894.23,Month-to-Month,Net Banking,0,No,3.0,Yes
CUST-2046,Female,26,Mumbai,42,Premium,1282.25,Month-to-Month,Net Banking,3,No,2.0,Yes
CUST-1755,Male,61,Delhi,29,Basic,499.73,1 Year,Net Banking,1,Yes,1.0,Yes
CUST-2120,Male,45,Pune,54,Basic,473.9,Month-to-Month,Credit Card,0,Yes,2.0,Yes
CUST-1720,Female,21,bengaluru,11,Basic,505.68,Month-to-Month,UPI,3,No,4.0,Yes
CUST-1396,Female,70,Bengaluru,25,Standard,839.73,1 Year,UPI,2,Yes,2.0,No
CUST-2103,Female,24,Delhi,40,Standard,879.75,Month-to-Month,Cash,1,No,2.0,No
CUST-1644,Male,71,Pune,45,Basic,441.17,Month-to-Month,Credit Card,0,No,2.0,No
CUST-1626,Male,59,pune,38,Basic,495.8,Month-to-Month,UPI,0,Yes,1.0,No
CUST-1086,Male,70,Bengaluru,28,Standard,894.11,Month-to-Month,UPI,2,No,3.0,Yes
CUST-1057,Male,55,Chennai,4,Premium,1329.12,Month-to-Month,UPI,2,Yes,2.0,Yes
CUST-1314,Female,58,hyderabad,51,Premium,1361.62,Month-to-Month,UPI,0,Yes,5.0,No
CUST-1038,Male,44,MUMBAI,53,Premium,1335.65,1 Year,UPI,0,No,2.0,No
CUST-1261,Female,37,Hyderabad,49,Standard,892.43,Month-to-Month,UPI,2,No,2.0,Yes
CUST-1353,Female,58,Mumbai,51,Standard,853.97,Month-to-Month,Credit Card,2,Yes,4.0,No
CUST-2109,Female,22,chennai,10,Basic,575.95,Month-to-Month,UPI,1,Yes,1.0,Yes
CUST-1122,Female,48,Hyderabad,40,Basic,522.36,1 Year,Credit Card,2,No,1.0,No
CUST-1784,Male,59,bengaluru,2,Standard,1033.99,1 Year,Credit Card,0,No,4.0,Yes
CUST-1534,Female,52,mumbai,16,Premium,1133.85,2 Year,Credit Card,2,No,3.0,No
CUST-1613,Female,42,Chennai,50,Premium,1284.65,Month-to-Month,Net Banking,1,No,4.0,No
CUST-1008,Female,32,mumbai,35,Basic,600.54,1 Year,Credit Card,5,No,1.0,No
CUST-1078,Male,44,Hyderabad,27,Basic,550.2,2 Year,UPI,1,Yes,4.0,No
CUST-2130,Male,20,hyderabad,15,Basic,493.59,1 Year,UPI,2,No,2.0,No
CUST-1051,Female,36,Delhi,25,Premium,1316.21,1 Year,Credit Card,2,Yes,,No
CUST-1123,Male,55,DELHI,11,Basic,572.96,1 Year,Credit Card,0,Yes,2.0,Yes
CUST-1326,Female,42,chennai,11,Standard,937.23,1 Year,UPI,3,No,5.0,Yes
